case_id,stream,arm,reason,reference_member,triple
government-27ceaef34223,natural,shacl_context,unsupported,False,"{""head"": ""Document:government-27ceaef34223:对民办学校未按照国家统一的会计制度进行会计核算、编制财务会计报告，财务、资产管理混乱，或者违反法律、法规增加收费项目、提高收费标准的处罚"", ""relation"": ""实施依据"", ""tail"": ""《中华人民共和国民办教育促进法》第六十二条“民办学校有下列行为之一的，由县级以上人民政府教育行政部门、人力资源社会保障行政部门或者其他有关部门责令限期改正，并予以警告；有违法所得的，退还所收费用后没收违法所得；情节严重的，责令停止招生、吊销办学许可证；构成犯罪的，依法追究刑事责任:（一）擅自分立、合并民办学校的；（二）擅自改变民办学校名称、层次、类别和举办者的；（三）公布虚假招生简章或者广告，骗取钱财的；（四）非法颁发或者伪造学历证书、结业证书、培训证书、职业资格证书的；（五）管理混乱严重影响教育教学，产生恶劣社会影响的；（六）提交虚假证明文件或者采取其他欺诈手段隐瞒重要事实骗取办学许可证的；（七）伪造、变造、买卖、出租。""}"
government-123148e99b2a,natural,diagnosis,unsupported,False,"{""head"": ""Document:government-123148e99b2a:对未按规定配备与其规模相适应的医疗器械质量管理机构或者质量管理人员，或者未按规定建立覆盖质量管理全过程的使用质量管理制度的；未按规定由指定的部门或者人员统一采购医疗器械的；购进、使用未备案的第一类医疗"", ""relation"": ""服务事项"", ""tail"": ""对未按规定配备与其规模相适应的医疗器械质量管理机构或者质量管理人员，或者未按规定建立覆盖质量管理全过程的使用质量管理制度的；未按规定由指定的部门或者人员统一采购医疗器械的；购进、使用未备案的第一类医疗器械，或者从未备案的经营企业购进第二类医疗器械的；贮存医疗器械的场所、设施及条件与医疗器械品种、数量不相适应的，或者未按照贮存条件、医疗器械有效期限等要求对贮存的医疗器械进行定期检查并记录的；未按规定建立、执行医疗器械使用前质量检查制度的；未按规定索取、保存医疗器械维护维修相关记录的；未按规定对其本单位从事医疗器械维护维修的相关技术人员进行培训考核、建立培训档案的；未按规定对其医疗器械质量管理工作进行自查、形成自查报告的行政处罚。""}"
government-3235e3648e32,natural,shacl_context,unsupported,False,"{""head"": ""Document:government-3235e3648e32:对未取得生鲜乳收购许可证收购生鲜乳的；或生鲜乳收购站取得生鲜乳收购许可证后，不再符合许可条件继续从事生鲜乳收购的；或生鲜乳收购站收购本条例第二十四条规定禁止收购的生鲜乳的行政处罚"", ""relation"": ""实施依据"", ""tail"": ""《乳品质量安全监督管理条例》（2008年10月国务院令第536号公布）""}"
government-0aada7eebec8,controlled,diagnosis,wrong_head,False,"{""head"": ""Document:government-0aada7eebec8:对广告内容违反《中华人民广告法》第八条规定的;广告引证内容违反《中华人民广告法》第十一条规定的；涉及专利的广告违反《中华人民广告法》第十二条规定的；广告贬低其他生产经营者的商品或者服务的；广告经营者、"", ""relation"": ""实施依据"", ""tail"": ""《中华人民共和国广告法》（2021年修订） 第五十九条有下列行为之一的，由市场监督管理部门责令停止发布广告，对广告主处十万元以下的罚款： （一）广告内容违反本法第八条规定的；（二）广告引证内容违反本法第十一条规定的；（三）涉及专利的广告违反本法第十二条规定的；（四）违反本法第十三条规定，广告贬低其他生产经营者的商品或者服务的。 广告经营者、广告发布者明知或者应知有前款规定违法行为仍设计、制作、代理、发布的，由市场监督管理部门处十万元以下的罚款。 广告违反本法第十四条规定，不具有可识别性的，或者违反本法第十九条规定，变相发布医疗、药品、医疗器械、保健食品广告的，由市场监督管理部门责令改正，对广告发布者处十万元以下的罚款。 第八条 广告""}"
government-27ceaef34223,natural,diagnosis,unsupported,False,"{""head"": ""Document:government-27ceaef34223:对民办学校未按照国家统一的会计制度进行会计核算、编制财务会计报告，财务、资产管理混乱，或者违反法律、法规增加收费项目、提高收费标准的处罚"", ""relation"": ""实施依据"", ""tail"": ""《中华人民共和国民办教育促进法》第六十二条“民办学校有下列行为之一的，由县级以上人民政府教育行政部门、人力资源社会保障行政部门或者其他有关部门责令限期改正，并予以警告；有违法所得的，退还所收费用后没收违法所得；情节严重的，责令停止招生、吊销办学许可证；构成犯罪的，依法追究刑事责任:（一）擅自分立、合并民办学校的；（二）擅自改变民办学校名称、层次、类别和举办者的；（三）公布虚假招生简章或者广告，骗取钱财的；（四）非法颁发或者伪造学历证书、结业证书、培训证书、职业资格证书的；（五）管理混乱严重影响教育教学，产生恶恶劣社会影响的；（六）提交虚假证明文件或者采取其他欺诈手段隐瞒重要事实骗取办学许可证的；（七）伪造、变造、买卖、出租。""}"
government-0aada7eebec8,natural,diagnosis,wrong_head,False,"{""head"": ""Document:government-0aada7eebec8:对广告内容违反《中华人民广告法》第八条规定的;广告引证内容违反《中华人民广告法》第十一条规定的；涉及专利的广告违反《中华人民广告法》第十二条规定的；广告贬低其他生产经营者的商品或者服务的；广告经营者、"", ""relation"": ""行驶主体"", ""tail"": ""西安市市场监督管理局""}"
government-1d0146f05f63,natural,base,unsupported,False,"{""head"": ""Document:government-1d0146f05f63:工伤认定"", ""relation"": ""实施依据"", ""tail"": ""《工伤保险条例》（2003年4月27日国务院令第375号公布，2010年12月20日国务院令第586号修订）第五条、第十七条""}"
government-10a48db0d2e7,natural,base,unsupported,False,"{""head"": ""Document:government-10a48db0d2e7:对市场主体登记备案事项、公示信息情况的监督检查"", ""relation"": ""责任事项"", ""tail"": ""制定方案、实施检查、处置移送、事后监管""}"
government-27ceaef34223,natural,base,unsupported,False,"{""head"": ""Document:government-27ceaef34223:对民办学校未按照国家统一的会计制度进行会计核算、编制财务会计报告，财务、资产管理混乱，或者违反法律、法规增加收费项目、提高收费标准的处罚"", ""relation"": ""实施依据"", ""tail"": ""《中华人民共和国民办教育促进法》第六十二条“民办学校有下列行为之一的，由县级以上人民政府教育行政部门、人力资源社会保障行政部门或者其他有关部门责令限期改正，并予以警告；有违法所得的，退还所收费用后没收违法所得；情节严重的，责令停止招生、吊销办学许可证；构成犯罪的，依法追究刑事责任:（一）擅自分立、合并民办学校的；（二）擅自改变民办学校名称、层次、类别和举办者的；（三）公布虚假招生简章或者广告，骗取钱财的；（四）非法颁发或者伪造学历证书、结业证书、培训证书、职业资格证书的；（五）管理混乱严重影响教育教学，产生恶劣社会影响的；（六）提交虚假证明文件或者采取其他欺诈手段隐瞒重要事实骗取办学许可证的；（七）伪造、变造、买卖、出租。""}"
government-0aada7eebec8,natural,base,wrong_head,False,"{""head"": ""Document:government-0aada7eebec8:对广告内容违反《中华人民广告法》第八条规定的;广告引证内容违反《中华人民广告法》第十一条规定的；涉及专利的广告违反《中华人民广告法》第十二条规定的；广告贬低其他生产经营者的商品或者服务的；广告经营者、"", ""relation"": ""行驶主体"", ""tail"": ""西安市市场监督管理局""}"
