id,domain,triple,annotator1_score,annotator2_score,annotator3_score,annotator1_note,annotator2_note
1,环境,行驶主体 --[是]-> 自然资源局,0.4,0.8,0.8,主谓颠倒：自然资源局是行驶主体，不能行驶主体 = 自然资源局，从属错位,
2,政务,行驶主体 --[是]-> 西安市市场监督管理局,0.4,0.8,0.8,同上，概念从属写反,
3,环境,环境执法处罚 --[类型]-> 行政处罚,1.0,1.0,0.6,环境执法处罚是行政处罚子类，层级、关系全部正确,
4,环境,环境执法处罚 --[涉及]-> 固体废物乱堆乱放,1.0,1.0,1.0,处罚对应违法问题，逻辑准确,
5,环境,水利局 --[承办机构]-> 环境执法处罚,0.4,0.4,0.4,水利局不承办环境执法处罚，权责术语错误,水利局是部门，“承办机构”通常是某个处罚事项的内部机构，这里层级不对
6,环境,应急管理局 --[承办机构]-> 环境执法处罚,0.4,0.4,0.4,应急局非环境处罚承办单位，主体错误,类似上一条
7,金融,《证券投资基金法》 --[实施依据]-> 行政处罚,1.0,0.8,0.8,法律作为处罚依据，表述合规,法律可作为依据，但说实施依据“是”行政处罚？实际实施依据是法律本身
8,政务,服务事项 --[涉及]-> 行政强制,0.6,0.6,0.6,关系笼统宽泛，部分事项相关，有歧义但无原则错误,服务事项一般不涉及行政强制，但关系勉强
9,环境,实施依据 --[是]-> 《排污许可管理条例》,0.4,0.8,1.0,颠倒：条例是实施依据，不能实施依据 = 条例,
10,环境,环境执法处罚 --[服务事项]-> 辐射安全管理不规范,0.2,0.6,0.4,处罚≠服务事项，关系严重违背常识,服务事项用在此处别扭
11,政务,没收违法生产、销售的产品 --[处罚措施]-> 伪造产品产地的,0.6,0.2,0.2,语句残缺宾语，表述有歧义，逻辑大体成立,主客体颠倒：伪造产品产地的是违法行为，没收是处罚措施
12,金融,外汇管理局 --[承办机构]-> 行政处罚,0.6,0.6,0.8,仅可承办少量涉汇处罚，整体表述不严谨、适用范围窄,外汇管理局可以是承办机构，但此处泛泛的行政处罚未明确
13,环境,自然资源局 --[行驶主体]-> 固体废物乱堆乱放,0.2,0.2,0.2,机关不能作为违法行为的行使主体，主谓完全错乱,行驶主体应当是执法主体，不是针对固体废物乱堆乱放这个行为
14,金融,服务事项 --[是]-> 金融监管处罚,0.4,0.4,0.6,从属颠倒，处罚属于服务事项子集,服务事项和处罚相差远
15,金融,市地方金融监管局 --[承办机构]-> 金融监管处罚,1.0,0.8,1.0,法定承办主体，关系准确,
16,金融,权力类型 --[是]-> 行政处罚,0.4,1.0,1.0,颠倒：行政处罚是权力类型，不能权力类型 = 处罚,
17,金融,证监会某监管局 --[行使主体]-> 金融监管处罚,1.0,1.0,1.0,派出机构是执法主体，三元组无误,
18,环境,县生态环境局 --[执行]-> 承办机构,0.2,0.2,0.2,行政机关无法执行机构，主谓逻辑颠倒离谱,主客体颠倒：县生态环境局执行的是处罚，不是执行“承办机构”
19,政务,行驶主体 --[是]-> 某村委会,0.2,0.6,0.4,村委会无行政处罚执法主体资格，违背行政法常识,村委会可做行驶主体但部分语境弱
20,政务,市应急管理综合执法支队 --[类型]-> 执法机构,1.0,1.0,1.0,支队归类为执法机构准确,
21,金融,行驶主体 --[是]-> 中国人民银行某分行,0.4,1.0,0.8,从属倒置，分行是行驶主体，不能行驶主体 = 分行,
22,金融,行驶主体 --[是]-> 银保监会某监管局,0.4,1.0,0.8,同上，概念写反,
23,环境,"服务事项 --[包括]-> ""未验先投违法生产""",1.0,0.4,0.4,该违法行为属于环境监管服务事项，关系正确,服务事项包括违法行为？逻辑不对
24,金融,权力类型 --[类型]-> 行政处罚,0.6,0.8,0.6,表述冗余笼统，轻微用词不准，逻辑合理,“类型”不是最好关系词
25,政务,违反本办法第四条规定开办旅馆 --[公安机关]-> 应当协助工商行政管理部门依法处理,0.6,0.2,0.2,关系标签不规范缺谓语，内容成立但标注歧义,主语是违法行为，谓语是“公安机关”？完全错位
26,环境,市生态环境局 --[实施依据]-> 《畜禽规模养殖污染防治条例》,0.2,1.0,0.2,行政机关不能是法律法规依据，主谓严重错位,
27,金融,外汇管理局 --[行驶主体]-> 金融监管处罚,1.0,1.0,0.8,外管局为涉外汇金融处罚行使主体，准确,
28,环境,《中华人民共和国土壤污染防治法》 --[作为]-> 环境执法处罚的依据,1.0,1.0,1.0,法条充当处罚依据，表述无误,
29,环境,水利局 --[承办机构]-> 环境执法处罚,0.4,0.4,0.4,同 id5，无权承办环境处罚,同样层级错误
30,环境,"环境执法处罚 --[涉及问题]-> ""环境应急预案未备案""",1.0,0.8,1.0,处罚对应违规问题，关系正确,
31,环境,水利局 --[承办机构]-> 环境执法处罚,0.4,0.4,0.4,重复 id5/29，主体权责错误,
32,政务,西安市市场监督管理局 --[行使权力]-> 行政处罚,1.0,1.0,1.0,市监局依法行使处罚权,
33,环境,承办机构 --[是]-> 镇环保所,0.4,0.8,0.8,颠倒：镇环保所属于承办机构，不能承办机构 = 环保所,
34,环境,实施依据 --[来自]-> 《危险废物经营许可证管理办法》,0.4,0.8,1.0,概念倒置，法规是依据来源，主谓写反,
35,金融,权力类型 --[等同于]-> 行政处罚,0.4,0.6,0.6,子集不能等同于全集，术语逻辑错误,不等同，权力类型包含行政处罚
36,金融,行政处罚 --[实施依据]-> 《中华人民共和国反洗钱法》,0.4,0.8,0.2,颠倒：法律是处罚依据，处罚不能作为法条依据,
37,环境,行政处罚 --[权力类型]-> 环境执法处罚,0.4,0.4,0.2,层级颠倒：环境处罚隶属于行政处罚,颠倒：处罚是权力类型的一种？应是处罚类型
38,环境,环境执法处罚 --[类型]-> 行政处罚,1.0,1.0,0.6,分类从属正确,
39,政务,承办机构 --[是]-> 县（区）生态环境保护综合执法大队,0.4,0.8,1.0,从属颠倒，执法大队属于承办机构,
40,环境,建设项目未批先建 --[是]-> 环境执法处罚的对象,1.0,0.8,0.8,违法事实是处罚对象，逻辑准确,
41,政务,安装、拆卸人员名单 --[报]-> 监理单位,0.6,1.0,1.0,报送对象视法规而定，关系笼统有歧义,
42,金融,证监会某监管局 --[行驶主体]-> 金融监管处罚,1.0,1.0,0.8,执法主体匹配无误,
43,环境,实施依据 --[依据]-> 中华人民共和国水污染防治法,0.4,0.8,0.6,主谓倒置，法条是依据来源,
44,环境,相关文件 --[是]-> 《已废止的某某规定》,0.6,0.8,0.6,笼统表述，未说明哪类文件，存在歧义,
45,金融,外汇管理局 --[类型]-> 行政机关,1.0,1.0,1.0,机构属性分类准确,
46,政务,文物收藏单位 --[备案给]-> 主管的文物行政部门,1.0,1.0,1.0,备案报送主体、客体、关系全对,
47,政务,实施依据 --[来源于]-> 第七十六条第一项,0.4,0.8,0.6,倒置：法条项是依据来源，不能依据来源于法条,
48,金融,金融监管处罚 --[涉及事项]-> 资金池业务违规,1.0,1.0,1.0,违规事项属监管处罚范畴,
49,金融,承办机构 --[是]-> 证监会,0.4,0.8,1.0,从属颠倒，证监会是承办机构,
50,金融,实施依据 --[是]-> 《小额贷款公司监督管理条例》,0.4,0.8,1.0,概念颠倒，条例是实施依据,
51,环境,"行驶主体 --[是]-> ""自然资源局""",0.4,0.8,0.8,从属写反，自然资源局是行驶主体,
52,金融,金融监管处罚 --[涉及领域]-> 征信业务违规,1.0,1.0,1.0,关系匹配准确,
53,政务,生产者 --[违反]-> 规定,0.6,0.6,0.8,“规定” 指代不明，表述笼统有歧义,太笼统
54,政务,实施依据 --[包括]-> 《中华人民共和国安全生产法》,0.6,0.8,1.0,依据可包含该法律，但表述简略宽泛,
55,金融,行政处罚 --[权力类型]-> 金融监管处罚,0.4,0.4,0.2,层级颠倒：金融监管处罚属于行政处罚权力类型,颠倒：处罚是类型，不是权力类型
56,金融,权力类型 --[是]-> 行政处罚,0.4,1.0,1.0,同 id16，概念倒置,
57,金融,银保监会 --[依据]-> 《银行业金融机构反洗钱和反恐怖主义融资管理办法》,0.6,1.0,0.6,关系标签不准，机构依据法规履职，表述不严谨,
58,政务,服务事项 --[类型]-> 行政处罚事项,0.6,0.2,0.6,部分服务事项是处罚事项，笼统模糊,服务事项不是处罚事项
59,环境,实施依据 --[是]-> 《中华人民共和国固体废物污染环境防治法》,0.4,0.8,1.0,主谓颠倒，法条为依据来源,
60,政务,《中华人民共和国药品管理法》 --[规定]-> 医疗机构将其配制的制剂在市场上销售的处罚,1.0,1.0,1.0,法条对应处罚规则，准确,
61,环境,生态环境综合执法支队 --[类型]-> 机构,0.8,1.0,1.0,归类正确，仅表述太简略轻微瑕疵,
62,金融,金融监管处罚 --[针对]-> 同业业务违规,1.0,1.0,1.0,处罚针对违规行为，无误,
63,环境,实施依据 --[是]-> VOCs治理设施未正常运行的法律基础,0.4,0.6,0.6,倒置：法律基础是实施依据,表述不够准确，但可行
64,政务,重点用能工业企业 --[类型]-> 企业,1.0,1.0,1.0,分类准确,
65,环境,权力类型 --[是]-> 行政处罚,0.4,1.0,1.0,同 id16，概念颠倒,
66,金融,金融监管处罚 --[依据]-> 《信托公司管理办法》,0.4,1.0,1.0,颠倒：规章是处罚依据,
67,金融,承办机构 --[是]-> 证监会,0.4,0.8,1.0,同 id49，从属倒置,
68,金融,实施依据 --[是]-> 《中华人民共和国证券法》,0.4,0.8,1.0,主谓颠倒，证券法为依据来源,
69,政务,娱乐场所 --[未按照本条例规定建立从业人员名簿]-> 给予警告,1.0,0.8,0.4,违规行为对应处罚，关系准确,
70,金融,权力类型 --[是]-> 行政处罚,0.4,1.0,1.0,同 id16,
71,政务,西安市卫生健康委员会 --[包含]-> 医政医管处,1.0,1.0,1.0,处室隶属于委，层级正确,
72,政务,西安市市场监督管理局 --[实施依据]-> 《规范促销行为暂行规定》,0.2,1.0,0.2,机关不能作为法规依据，主谓严重错位,
73,环境,林业局 --[行驶主体]-> 环境执法处罚,0.4,0.4,0.6,林业局非环境处罚执法主体，权责错误,林业局部分处罚可做主体，但通常是环境执法才叫环境执法处罚
74,政务,西安市卫生健康委员会 --[权力类型]-> 行政检查,0.6,1.0,0.2,卫健委拥有该权力，表述笼统不精准,
75,环境,承办机构 --[是]-> 省生态环境厅,0.4,0.8,0.8,从属颠倒，省厅是承办主管机构,
76,金融,金融监管处罚 --[涉及问题]-> 准备金提取不足,1.0,1.0,1.0,违规问题对应处罚,
77,金融,金融监管处罚 --[服务事项]-> 欺诈发行,0.2,0.4,0.4,处罚不属于服务事项，关系错误,欺诈发行是违法行为，不是服务事项
78,环境,畜禽粪污直排入河 --[涉及事项]-> 环境执法处罚,1.0,0.8,0.6,违法事项触发处罚，正确,
79,金融,金融监管处罚 --[涉及事项]-> 资金池业务违规,1.0,1.0,1.0,准确,
80,政务,"买卖或者伪造、变造《报废汽车回收证明} --[关系]-> 属报废汽车回收企业,情节严重的,由原审批发证部门分别吊销《资格认定书》、《特种行业许可证》、营业执照",0.6,0.8,0.0,关系标签异常、语句冗长笼统，逻辑成立但标注歧义,
81,金融,行政处罚 --[实施依据]-> 《关于规范民间借贷行为的通知》,0.4,0.8,0.2,颠倒：文件是处罚依据,
82,金融,行驶主体 --[是]-> 中国人民银行,0.4,1.0,0.8,从属倒置，人行是行驶主体,
83,金融,行政处罚 --[权力类型]-> 金融监管处罚,0.4,0.4,0.2,层级颠倒,
84,金融,资金池业务违规 --[类型]-> 违规行为,1.0,1.0,1.0,分类准确,
85,政务,出租、转让频率、频段，擅自变更广播电视发射台、转播台技术参数 --[违反]-> 《广播电视管理条例》,1.0,1.0,1.0,行为违反条例，关系正确,
86,政务,城市管理部门 --[督促]-> 改正,0.6,0.8,0.6,督促整改为常见权责，但表述过简笼统,
87,政务,五千元以上一万元以下罚款 --[没收]-> 违法所得,0.2,0.2,0.4,罚款≠没收，处罚种类混淆，常识错误,罚款没收违法所得？主语应为执法机关
88,金融,《银行业金融机构反洗钱和反恐怖主义融资管理办法》 --[实施依据]-> 行政处罚,1.0,0.8,0.8,规章作为处罚依据，准确,
89,金融,承办机构 --[是]-> 省地方金融监管局,0.4,0.8,1.0,从属颠倒,
90,环境,行政处罚 --[权力类型]-> 环境执法处罚,0.4,0.4,0.2,层级颠倒,
91,金融,金融监管处罚 --[依据]-> 《期货交易管理条例》,0.4,1.0,1.0,主谓颠倒,
92,政务,《建设工程质量管理条例》 --[发布]-> 国务院令第279号,1.0,1.0,0.8,条例由对应国务院令发布，准确,
93,金融,行政处罚 --[针对]-> 挪用客户资金,0.6,1.0,1.0,处罚可针对该违规，表述简略宽泛,
94,环境,环境执法处罚 --[实施依据]-> 《中华人民共和国水污染防治法》,0.4,1.0,0.2,颠倒：法条是处罚依据,
95,政务,西安市交通运输局 --[行使]-> 公路超限运输许可,1.0,1.0,1.0,主管机关行使许可职权，准确,
96,环境,"承办机构 --[是]-> VOCs治理设施未正常运行的,主体",0.2,0.2,0.2,违规主体不可能是承办机构，完全错乱,句子不通，违背术语准确
97,政务,环境卫生管理处 --[类型]-> 部门,1.0,1.0,1.0,处室属于行政部门，分类正确,
98,环境,环境执法处罚 --[服务事项]-> 固体废物乱堆乱放,0.2,0.6,0.4,处罚不是服务事项，关系错误,
99,政务,实施依据 --[来源]-> 国家旅游局令第30号发布2016年12月国家旅游局令第42号第二次修改,0.4,0.8,0.6,倒置：规章是依据来源,
100,政务,用人单位 --[违反]-> 《人才市场管理规定》,1.0,1.0,1.0,主体违反部门规章，关系正确,
101,政务,旅行社 --[类型]-> 旅行社,0.2,0.8,0.0,同义重复，无有效逻辑,循环定义
102,政务,擅自转移、使用、销毁、销售被查封或者扣押的兽药及有关材料 --[违法行为]-> 行政处罚,0.6,0.4,0.2,标签用法不规范，行为触发处罚，逻辑成立但歧义,主语是行为，谓语是“行政处罚”？应该是“应受处罚”
103,政务,承办机构 --[是]-> 管理部,0.4,0.8,0.6,从属颠倒，管理部属于承办机构,
104,金融,实施依据 --[是]-> 《中华人民共和国商业银行法》,0.4,0.8,1.0,主谓颠倒,
105,金融,金融监管处罚 --[涉及事项]-> 操纵市场价格,1.0,1.0,1.0,准确,
106,政务,各业务部门 --[是]-> 承办机构,0.4,0.8,0.6,从属颠倒，业务部门多为承办机构,
107,金融,省地方金融监管局 --[负责]-> 行政处罚,1.0,1.0,0.8,监管局负责对应处罚，准确,
108,环境,行驶主体 --[是]-> 环境监测站,0.4,0.4,0.4,多数监测站无处罚执法权，概念写反,监测站是技术机构，不行使处罚权
109,政务,船舶、浮动设施 --[未持有]-> 登记证书,1.0,1.0,1.0,事实关系准确,
110,政务,西安市人力资源和社会保障局 --[行使主体]-> 行政处罚,1.0,1.0,0.2,人社局依法行使处罚，正确,
111,政务,中华人民共和国安全生产法 --[依据]-> 全国人大常委会,0.2,1.0,0.2,法条不能作为人大常委会的依据，主谓错位,
112,政务,违反本条例规定 --[行为之一]-> 在城市广场,0.2,0.2,0.4,地点不能是违规行为，逻辑荒谬,句子不完整无意义
113,环境,环境执法处罚 --[由]-> 水利局,0.4,0.8,0.4,水利局不作出环境处罚，主体错误,
114,环境,应急管理局 --[行驶主体]-> 环境执法处罚,0.4,0.4,0.4,应急局非环境处罚执法主体,应急管理局通常不直接行使“环境执法处罚”
115,政务,颁发测绘资质证书的部门 --[决定]-> 降低测绘资质等级,1.0,1.0,1.0,主管部门有权降级，准确,
116,政务,未取得药品生产许可证 --[导致]-> 行政责骂,0.2,0.0,0.0,法定是行政处罚，无 “行政责骂”，违背法规常识,“责骂”明显错误
117,政务,工商行政管理机关 --[处罚]-> 暂停发布医疗广告,1.0,1.0,1.0,机关执法处罚内容准确,
118,环境,权力类型 --[是]-> 行政处罚,0.4,1.0,1.0,概念颠倒,
119,政务,西安市卫生健康委员会 --[行使主体]-> 服务事项,0.2,1.0,0.2,机关不能作为服务事项的行使主体，主谓错乱,
120,政务,赌博 --[类型]-> 法律或法规,0.2,0.2,0.0,违法行为≠法律法规，分类完全错误,赌博不是法律/法规类型，是行为
121,金融,承办机构 --[是]-> 省地方金融监管局,0.4,0.8,1.0,从属颠倒,
122,环境,环境执法处罚 --[针对]-> 偷排偷放污染物,1.0,1.0,1.0,处罚针对排污违规，正确,
123,金融,银保监会某监管局 --[承办机构]-> 金融监管处罚,1.0,0.8,1.0,派出机构承办处罚，准确,
124,金融,虚假陈述 --[类型]-> 违法行为,1.0,1.0,1.0,定性准确,
125,政务,承办机构 --[是]-> 综合执法支队,0.4,0.8,0.8,从属颠倒,
126,政务,西安市人力资源和社会保障局 --[管理]-> 劳动保障监察执法处,1.0,1.0,1.0,处室隶属市局，层级正确,
127,环境,环境执法处罚 --[实施依据]-> 《建设项目环境保护管理条例》,0.4,1.0,0.2,颠倒：条例是处罚依据,
128,政务,医政医管处 --[承办机构]-> 行政处罚,1.0,0.8,0.8,处室承办行业相关处罚，准确,
129,环境,"服务事项 --[包括]-> ""环境执法处罚：恶臭污染扰民""",1.0,0.6,0.4,该处罚事项纳入环境服务事项,
