start_id,end_id,relation_type,source
1,2,类型,enhanced_extraction
3,2,类型,enhanced_extraction
4,2,类型,enhanced_extraction
5,6,类型,enhanced_extraction
7,8,关联,enhanced_extraction
1,3,管理,enhanced_extraction
1,4,管理,enhanced_extraction
9,10,涉及,enhanced_extraction
11,12,是,enhanced_extraction
13,14,是,enhanced_extraction
15,16,是,enhanced_extraction
16,17,修订时间,enhanced_extraction
16,18,公布时间,enhanced_extraction
19,20,违反,enhanced_extraction
21,22,负责,enhanced_extraction
21,23,负责,enhanced_extraction
21,24,负责,enhanced_extraction
14,12,行使,enhanced_extraction
16,25,包含,enhanced_extraction
5,26,实施依据,enhanced_extraction
3,26,行使主体,enhanced_extraction
4,26,行使主体,enhanced_extraction
27,28,并列,enhanced_extraction
29,12,误导、欺骗公众或者含有其他违法内容行为,enhanced_extraction
30,12,行使主体,enhanced_extraction
31,12,承办机构,enhanced_extraction
32,33,责令停止发布,enhanced_extraction
32,33,依法予以处罚,enhanced_extraction
34,35,类型,enhanced_extraction
32,12,行使主体,enhanced_extraction
36,37,类型,enhanced_extraction
38,39,类型,enhanced_extraction
40,41,类型,enhanced_extraction
42,43,类型,enhanced_extraction
44,45,类型,enhanced_extraction
46,47,类型,enhanced_extraction
48,49,类型,enhanced_extraction
50,49,类型,enhanced_extraction
51,49,类型,enhanced_extraction
52,43,类型,enhanced_extraction
53,39,类型,enhanced_extraction
54,55,类型,enhanced_extraction
40,42,包含,enhanced_extraction
38,46,影响,enhanced_extraction
38,56,需要,enhanced_extraction
52,54,隶属于,enhanced_extraction
57,58,不履行,enhanced_extraction
57,59,违反,enhanced_extraction
57,60,违反,enhanced_extraction
57,61,造成,enhanced_extraction
62,58,不履行,enhanced_extraction
62,59,违反,enhanced_extraction
62,60,违反,enhanced_extraction
62,61,造成,enhanced_extraction
63,58,不履行,enhanced_extraction
63,59,违反,enhanced_extraction
63,60,违反,enhanced_extraction
63,61,造成,enhanced_extraction
57,64,类型,enhanced_extraction
62,64,类型,enhanced_extraction
63,64,类型,enhanced_extraction
30,65,行使,enhanced_extraction
66,67,吊销,enhanced_extraction
57,61,导致,enhanced_extraction
62,61,导致,enhanced_extraction
63,61,导致,enhanced_extraction
30,68,行驶主体,enhanced_extraction
69,68,承办机构,enhanced_extraction
70,68,实施依据,enhanced_extraction
71,68,实施依据,enhanced_extraction
72,68,受理申请,enhanced_extraction
73,68,审查,enhanced_extraction
74,75,发给,enhanced_extraction
74,76,验收,enhanced_extraction
73,77,进行,enhanced_extraction
78,79,权力类型,enhanced_extraction
78,70,实施依据,enhanced_extraction
78,71,实施依据,enhanced_extraction
78,72,受理申请,enhanced_extraction
78,73,审查,enhanced_extraction
78,75,发给,enhanced_extraction
78,76,验收,enhanced_extraction
80,9,行使主体,enhanced_extraction
81,9,承办机构,enhanced_extraction
82,83,违法行为,enhanced_extraction
84,85,执行方,enhanced_extraction
84,86,执行方,enhanced_extraction
84,87,执行方,enhanced_extraction
84,88,执行方,enhanced_extraction
84,89,执行方,enhanced_extraction
84,90,执行方,enhanced_extraction
91,92,违法行为,enhanced_extraction
80,2,类型,enhanced_extraction
81,2,类型,enhanced_extraction
93,94,类型,enhanced_extraction
95,94,类型,enhanced_extraction
54,96,类型,enhanced_extraction
95,97,发布,enhanced_extraction
95,98,修订,enhanced_extraction
93,95,修订,enhanced_extraction
95,93,修订依据,enhanced_extraction
9,99,实施依据,enhanced_extraction
9,100,实施依据,enhanced_extraction
9,101,包括,enhanced_extraction
102,1,是,enhanced_extraction
13,103,是,enhanced_extraction
15,104,是,enhanced_extraction
1,2,类型,enhanced_extraction
103,2,类型,enhanced_extraction
105,6,类型,enhanced_extraction
106,107,类型,enhanced_extraction
9,108,类型,enhanced_extraction
101,109,类型,enhanced_extraction
1,103,管理,enhanced_extraction
101,12,权力类型,enhanced_extraction
1,104,依据,enhanced_extraction
103,104,依据,enhanced_extraction
110,12,行使主体,enhanced_extraction
111,12,承办机构,enhanced_extraction
112,12,承办机构,enhanced_extraction
113,114,实施依据,enhanced_extraction
113,115,实施依据,enhanced_extraction
9,116,类型,enhanced_extraction
117,118,类型,enhanced_extraction
119,120,类型,enhanced_extraction
12,121,类型,enhanced_extraction
110,96,类型,enhanced_extraction
111,122,类型,enhanced_extraction
112,122,类型,enhanced_extraction
113,94,类型,enhanced_extraction
123,124,类型,enhanced_extraction
125,96,类型,enhanced_extraction
126,121,类型,enhanced_extraction
127,121,类型,enhanced_extraction
128,121,类型,enhanced_extraction
22,121,类型,enhanced_extraction
9,129,涉及,enhanced_extraction
11,79,是,enhanced_extraction
102,130,是,enhanced_extraction
13,69,是,enhanced_extraction
129,79,属于,enhanced_extraction
79,11,类型,enhanced_extraction
130,11,行使主体,enhanced_extraction
69,130,承办机构,enhanced_extraction
30,12,行使,enhanced_extraction
131,132,使,enhanced_extraction
133,30,实施依据,enhanced_extraction
134,135,包含,enhanced_extraction
134,136,情节轻重,enhanced_extraction
137,138,实施,enhanced_extraction
137,139,实施,enhanced_extraction
137,140,实施,enhanced_extraction
137,141,实施,enhanced_extraction
137,142,实施,enhanced_extraction
137,143,实施,enhanced_extraction
137,144,实施,enhanced_extraction
137,145,实施,enhanced_extraction
146,134,责令停止,enhanced_extraction
146,147,没收,enhanced_extraction
148,149,可以并处,enhanced_extraction
148,150,且,enhanced_extraction
148,151,可以并处,enhanced_extraction
152,153,可以导致,enhanced_extraction
154,155,违反,enhanced_extraction
156,157,由原企业登记机关,enhanced_extraction
30,158,行驶,enhanced_extraction
159,41,承办,enhanced_extraction
137,160,类型,enhanced_extraction
30,96,类型,enhanced_extraction
159,161,类型,enhanced_extraction
137,162,实施,enhanced_extraction
146,137,监管,enhanced_extraction
148,24,决定,enhanced_extraction
152,153,导致,enhanced_extraction
156,163,由...代替,enhanced_extraction
158,30,行使,enhanced_extraction
159,30,隶属于,enhanced_extraction
164,96,是,enhanced_extraction
165,166,违反,enhanced_extraction
165,167,违反,enhanced_extraction
168,169,违反,enhanced_extraction
170,171,违反,enhanced_extraction
172,9,服务事项,enhanced_extraction
173,11,权力类型,enhanced_extraction
174,175,实施依据,enhanced_extraction
176,177,实施依据,enhanced_extraction
178,179,登记对象,enhanced_extraction
180,180,登记类型,enhanced_extraction
181,181,登记类型,enhanced_extraction
182,183,申请材料,enhanced_extraction
184,183,申请材料,enhanced_extraction
185,183,申请材料,enhanced_extraction
186,183,申请材料,enhanced_extraction
187,183,申请材料,enhanced_extraction
188,183,申请材料,enhanced_extraction
80,189,管理,enhanced_extraction
175,172,实施依据,enhanced_extraction
177,172,实施依据,enhanced_extraction
175,45,法律,enhanced_extraction
177,190,行政法规,enhanced_extraction
191,9,承办机构,enhanced_extraction
192,9,受处罚,enhanced_extraction
193,192,责令限期缴纳,enhanced_extraction
194,195,后果,enhanced_extraction
193,196,可以处,enhanced_extraction
197,96,类型,enhanced_extraction
191,96,类型,enhanced_extraction
198,45,类型,enhanced_extraction
9,12,类型,enhanced_extraction
192,134,类型,enhanced_extraction
193,199,执行,enhanced_extraction
193,9,行使主体,enhanced_extraction
9,200,包括,enhanced_extraction
9,201,包括,enhanced_extraction
9,202,包括,enhanced_extraction
9,203,包括,enhanced_extraction
9,204,包括,enhanced_extraction
9,205,包括,enhanced_extraction
9,206,包括,enhanced_extraction
9,207,包括,enhanced_extraction
9,208,包括,enhanced_extraction
9,209,包括,enhanced_extraction
11,12,是,enhanced_extraction
210,211,包括,enhanced_extraction
212,134,类型,enhanced_extraction
211,134,类型,enhanced_extraction
200,134,类型,enhanced_extraction
201,134,类型,enhanced_extraction
202,134,类型,enhanced_extraction
203,134,类型,enhanced_extraction
204,134,类型,enhanced_extraction
205,134,类型,enhanced_extraction
206,134,类型,enhanced_extraction
207,134,类型,enhanced_extraction
208,134,类型,enhanced_extraction
209,134,类型,enhanced_extraction
213,214,是,enhanced_extraction
215,216,是,enhanced_extraction
9,217,涉及,enhanced_extraction
11,218,属于,enhanced_extraction
102,30,由...执行,enhanced_extraction
219,96,是类型,enhanced_extraction
220,122,是类型,enhanced_extraction
221,96,是类型,enhanced_extraction
222,223,是类型,enhanced_extraction
224,225,是类型,enhanced_extraction
226,225,是类型,enhanced_extraction
227,225,是类型,enhanced_extraction
228,45,是类型,enhanced_extraction
219,220,包含,enhanced_extraction
221,229,发布,enhanced_extraction
230,231,包含,enhanced_extraction
9,232,涉及,enhanced_extraction
11,12,是,enhanced_extraction
102,233,是,enhanced_extraction
13,234,是,enhanced_extraction
232,235,类型,enhanced_extraction
233,96,类型,enhanced_extraction
234,43,类型,enhanced_extraction
12,158,类型,enhanced_extraction
236,237,类型,enhanced_extraction
238,239,类型,enhanced_extraction
240,241,类型,enhanced_extraction
9,242,类型,enhanced_extraction
11,243,类型,enhanced_extraction
102,244,类型,enhanced_extraction
13,43,类型,enhanced_extraction
234,233,隶属于,enhanced_extraction
9,245,涉及,enhanced_extraction
11,246,是,enhanced_extraction
102,219,是,enhanced_extraction
13,220,是,enhanced_extraction
15,247,是,enhanced_extraction
230,248,第一百零二条,enhanced_extraction
9,12,权力类型,enhanced_extraction
15,249,是,enhanced_extraction
219,220,上级单位,enhanced_extraction
250,251,不符合,enhanced_extraction
1,12,行驶主体,enhanced_extraction
252,12,承办机构,enhanced_extraction
253,12,实施依据,enhanced_extraction
254,250,处罚对象,enhanced_extraction
254,255,处罚对象,enhanced_extraction
254,256,处罚对象,enhanced_extraction
1,252,包含,enhanced_extraction
255,250,聘用,enhanced_extraction
254,257,类型,enhanced_extraction
253,94,类型,enhanced_extraction
258,259,运输,enhanced_extraction
260,9,主体,enhanced_extraction
260,12,未采取有效措施及时、妥善处置,enhanced_extraction
261,260,责令改正,enhanced_extraction
261,260,罚款,enhanced_extraction
260,12,未按照本规定将处置方案报县级以上安全生产监督管理部门,enhanced_extraction
219,9,监管主体,enhanced_extraction
220,9,执行机构,enhanced_extraction
219,12,执行者,enhanced_extraction
219,220,监管,enhanced_extraction
262,263,实施依据,enhanced_extraction
264,9,是服务事项,enhanced_extraction
265,12,实施依据,enhanced_extraction
266,267,保持,enhanced_extraction
266,268,出现,enhanced_extraction
86,269,是对,enhanced_extraction
270,271,是对,enhanced_extraction
272,273,审批,enhanced_extraction
274,12,执行,enhanced_extraction
275,12,负责,enhanced_extraction
275,265,依据,enhanced_extraction
276,277,应当在,enhanced_extraction
278,279,应当清晰地标注,enhanced_extraction
278,280,应当清晰地标注,enhanced_extraction
281,282,应当增加使用说明,enhanced_extraction
282,283,应通俗易懂,enhanced_extraction
282,284,须有图例示,enhanced_extraction
281,285,必须标注,enhanced_extraction
281,286,必须标注,enhanced_extraction
281,287,必须满足,enhanced_extraction
159,12,承办机构,enhanced_extraction
288,289,实施依据,enhanced_extraction
290,291,规定,enhanced_extraction
288,292,规定,enhanced_extraction
288,293,规定,enhanced_extraction
288,294,规定,enhanced_extraction
295,296,实施依据,enhanced_extraction
295,297,实施依据,enhanced_extraction
295,298,实施依据,enhanced_extraction
299,300,按照,enhanced_extraction
30,12,监管,enhanced_extraction
159,12,执行,enhanced_extraction
288,289,包含,enhanced_extraction
9,12,对应,enhanced_extraction
11,12,是,enhanced_extraction
102,130,是,enhanced_extraction
13,301,是,enhanced_extraction
12,11,是,enhanced_extraction
130,12,执行,enhanced_extraction
302,9,属于,enhanced_extraction
303,9,属于,enhanced_extraction
304,9,属于,enhanced_extraction
305,9,属于,enhanced_extraction
197,11,行使,enhanced_extraction
306,9,承办,enhanced_extraction
9,307,是,enhanced_extraction
11,308,是,enhanced_extraction
306,197,隶属于,enhanced_extraction
9,309,包括,enhanced_extraction
9,310,包括,enhanced_extraction
9,311,包括,enhanced_extraction
9,312,包括,enhanced_extraction
9,313,包括,enhanced_extraction
9,314,包括,enhanced_extraction
9,315,包括,enhanced_extraction
11,12,是,enhanced_extraction
102,316,是,enhanced_extraction
13,317,是,enhanced_extraction
318,319,是,enhanced_extraction
316,41,是,enhanced_extraction
317,43,是,enhanced_extraction
316,317,包含,enhanced_extraction
9,320,包括处罚类型,enhanced_extraction
9,321,包括处罚类型,enhanced_extraction
9,322,包括处罚类型,enhanced_extraction
9,323,包括处罚类型,enhanced_extraction
9,324,包括处罚类型,enhanced_extraction
11,12,类型,enhanced_extraction
102,1,执行权力类型,enhanced_extraction
15,104,依据,enhanced_extraction
15,325,具体条款,enhanced_extraction
1,1,行驶主体,enhanced_extraction
326,104,实施依据,enhanced_extraction
9,11,包含,enhanced_extraction
1,104,依据,enhanced_extraction
327,328,实施依据,enhanced_extraction
327,329,实施依据,enhanced_extraction
330,331,出证和担保机构,enhanced_extraction
332,333,内设机构,enhanced_extraction
333,334,办理,enhanced_extraction
335,308,权力类型,enhanced_extraction
336,335,行使主体,enhanced_extraction
327,337,实施依据,enhanced_extraction
327,338,实施依据,enhanced_extraction
333,339,办理,enhanced_extraction
340,341,未持有,enhanced_extraction
342,343,被罚款,enhanced_extraction
15,344,来自,enhanced_extraction
216,345,执行,enhanced_extraction
346,345,执行,enhanced_extraction
216,346,隶属于,enhanced_extraction
347,344,发布,enhanced_extraction
348,344,修订,enhanced_extraction
9,349,包括,enhanced_extraction
11,350,是,enhanced_extraction
102,110,是,enhanced_extraction
13,111,包括,enhanced_extraction
13,112,包括,enhanced_extraction
15,351,来自,enhanced_extraction
352,353,在,enhanced_extraction
352,354,在,enhanced_extraction
126,355,由,enhanced_extraction
356,355,由,enhanced_extraction
357,355,由,enhanced_extraction
358,355,由,enhanced_extraction
359,355,由,enhanced_extraction
360,361,由,enhanced_extraction
110,235,类型,enhanced_extraction
111,235,类型,enhanced_extraction
112,235,类型,enhanced_extraction
351,45,类型,enhanced_extraction
355,351,执行,enhanced_extraction
351,352,包含,enhanced_extraction
355,126,执行,enhanced_extraction
355,356,执行,enhanced_extraction
355,357,执行,enhanced_extraction
355,358,执行,enhanced_extraction
355,359,执行,enhanced_extraction
362,360,承担,enhanced_extraction
9,363,包括,enhanced_extraction
11,79,是,enhanced_extraction
102,1,是,enhanced_extraction
