case_id,stream,method,initial_errors,final_errors,error_reduction,clean_fact_preservation,overrepair_rate,triple_precision,triple_recall,triple_f1,exact_match,repair
environment-3167138e25d4,controlled,diagnosis_raw,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
environment-3167138e25d4,controlled,diagnosis_gate,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
government-27ceaef34223,natural,shacl_context_raw,7.0,2.0,0.7142857142857143,1.0,0.14285714285714285,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0,
government-27ceaef34223,natural,shacl_context_gate,7.0,1.0,0.8571428571428571,1.0,0.0,1.0,0.8571428571428571,0.923076923076923,0.0,
finance-0ece511b91b7,controlled,diagnosis_raw,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
finance-0ece511b91b7,controlled,diagnosis_gate,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
government-123148e99b2a,natural,diagnosis_raw,7.0,6.0,0.14285714285714285,1.0,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,
government-123148e99b2a,natural,diagnosis_gate,7.0,5.0,0.2857142857142857,1.0,0.3333333333333333,0.6666666666666666,0.5714285714285714,0.6153846153846153,0.0,
government-3973dc6cd196,controlled,shacl_context_raw,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
government-3973dc6cd196,controlled,shacl_context_gate,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
finance-40192c28bd08,controlled,diagnosis_raw,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
finance-40192c28bd08,controlled,diagnosis_gate,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
finance-0599b493f8df,controlled,base_raw,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
finance-0599b493f8df,controlled,base_gate,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
finance-2c5481123672,controlled,base_raw,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
finance-2c5481123672,controlled,base_gate,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
finance-48ea238a01c0,controlled,diagnosis_raw,4.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
finance-48ea238a01c0,controlled,diagnosis_gate,4.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
environment-29ecdbb5e2da,controlled,shacl_context_raw,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
environment-29ecdbb5e2da,controlled,shacl_context_gate,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
finance-0940112f81b2,natural,shacl_context_raw,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,
finance-0940112f81b2,natural,shacl_context_gate,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,
finance-3bcd31489d79,natural,diagnosis_raw,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,
finance-3bcd31489d79,natural,diagnosis_gate,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,
government-2ae5e35394e4,controlled,diagnosis_raw,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
government-2ae5e35394e4,controlled,diagnosis_gate,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
environment-1c5e4f114bd3,controlled,diagnosis_raw,4.0,1.0,0.75,1.0,0.0,1.0,0.8571428571428571,0.923076923076923,0.0,0.5
environment-1c5e4f114bd3,controlled,diagnosis_gate,4.0,1.0,0.75,1.0,0.0,1.0,0.8571428571428571,0.923076923076923,0.0,0.5
environment-3881a05cffa1,natural,base_raw,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,
environment-3881a05cffa1,natural,base_gate,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,
finance-11d9ca639481,controlled,diagnosis_raw,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
finance-11d9ca639481,controlled,diagnosis_gate,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
environment-2fdd1fa18a3a,natural,shacl_context_raw,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,
environment-2fdd1fa18a3a,natural,shacl_context_gate,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,
environment-269d6428ec21,controlled,base_raw,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
environment-269d6428ec21,controlled,base_gate,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
finance-2c5481123672,natural,base_raw,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,
finance-2c5481123672,natural,base_gate,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,
environment-5201f128f055,controlled,shacl_context_raw,4.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
environment-5201f128f055,controlled,shacl_context_gate,4.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
environment-47f0150f2fe7,controlled,diagnosis_raw,4.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
environment-47f0150f2fe7,controlled,diagnosis_gate,4.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
finance-323400020ae8,natural,base_raw,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,
finance-323400020ae8,natural,base_gate,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,
finance-3bcd31489d79,natural,base_raw,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,
finance-3bcd31489d79,natural,base_gate,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,
government-2ff87373f537,natural,shacl_context_raw,3.0,4.0,-0.3333333333333333,1.0,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,
government-2ff87373f537,natural,shacl_context_gate,3.0,4.0,-0.3333333333333333,1.0,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,
environment-38fd486ef1b7,controlled,shacl_context_raw,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
