id,domain,exp,triple,qwen_score,gemma_score
1,environment,Exp2,行驶主体 --[是]-> 自然资源局,0.2,0.0
2,government,Exp3,行驶主体 --[是]-> 西安市市场监督管理局,0.2,0.0
3,environment,Exp3,环境执法处罚 --[类型]-> 行政处罚,1.0,0.4
4,environment,Exp2,环境执法处罚 --[涉及]-> 固体废物乱堆乱放,1.0,0.8
5,environment,Exp2,水利局 --[承办机构]-> 环境执法处罚,0.4,0.4
6,environment,Exp2,应急管理局 --[承办机构]-> 环境执法处罚,0.4,0.4
7,finance,Exp3,《证券投资基金法》 --[实施依据]-> 行政处罚,0.6,0.2
8,government,Exp3,服务事项 --[涉及]-> 行政强制,0.6,0.4
9,environment,Exp2,实施依据 --[是]-> 《排污许可管理条例》,0.4,1.0
10,environment,Exp2,环境执法处罚 --[服务事项]-> 辐射安全管理不规范,0.4,0.2
11,government,Exp2,没收违法生产、销售的产品 --[处罚措施]-> 伪造产品产地的,0.4,0.4
12,finance,Exp3,外汇管理局 --[承办机构]-> 行政处罚,0.8,0.4
13,environment,Exp3,自然资源局 --[行驶主体]-> 固体废物乱堆乱放,0.2,0.0
14,finance,Exp3,服务事项 --[是]-> 金融监管处罚,0.2,0.2
15,finance,Exp2,市地方金融监管局 --[承办机构]-> 金融监管处罚,0.8,0.4
16,finance,Exp3,权力类型 --[是]-> 行政处罚,0.4,0.4
17,finance,Exp3,证监会某监管局 --[行使主体]-> 金融监管处罚,1.0,0.4
18,environment,Exp3,县生态环境局 --[执行]-> 承办机构,0.6,0.2
19,government,Exp3,行驶主体 --[是]-> 某村委会,0.4,0.0
20,government,Exp3,市应急管理综合执法支队 --[类型]-> 执法机构,0.8,1.0
21,finance,Exp2,行驶主体 --[是]-> 中国人民银行某分行,0.2,0.0
22,finance,Exp2,行驶主体 --[是]-> 银保监会某监管局,0.2,0.0
23,environment,Exp2,"服务事项 --[包括]-> ""未验先投违法生产""",0.2,0.2
24,finance,Exp3,权力类型 --[类型]-> 行政处罚,1.0,0.4
25,government,Exp2,违反本办法第四条规定开办旅馆 --[公安机关]-> 应当协助工商行政管理部门依法处理,1.0,0.4
26,environment,Exp3,市生态环境局 --[实施依据]-> 《畜禽规模养殖污染防治条例》,1.0,1.0
27,finance,Exp2,外汇管理局 --[行驶主体]-> 金融监管处罚,0.8,0.2
28,environment,Exp3,《中华人民共和国土壤污染防治法》 --[作为]-> 环境执法处罚的依据,1.0,1.0
29,environment,Exp3,水利局 --[承办机构]-> 环境执法处罚,0.2,0.4
30,environment,Exp2,"环境执法处罚 --[涉及问题]-> ""环境应急预案未备案""",1.0,1.0
