id,name,node_type
1,金融看管责任,Enhanced
2,风险管理缺失,Enhanced
3,实施依据,Enhanced
4,《关于规范民间借贷行为的通知》,Enhanced
5,银保监会,Enhanced
6,行政处罚,Enhanced
7,权力类型,Enhanced
8,金融监管处罚,Enhanced
9,偿付能力不足,Enhanced
10,银保监会某监管局,Enhanced
11,行驶主体,Enhanced
12,承办机构,Enhanced
13,《中华人民共和国证券法》,Enhanced
14,服务事项,Enhanced
15,挪用客户资金,Enhanced
16,信息公开,Enhanced
17,处罚,Enhanced
18,行为,Enhanced
19,机构,Enhanced
20,事项,Enhanced
21,角色,Enhanced
22,支付业务违规,Enhanced
23,中国人民银行某分行,Enhanced
24,中华人民共和国中国人民银行法,Enhanced
25,消费者权益保护,Enhanced
26,保护,Enhanced
27,县金融办,Enhanced
28,证券投资基金法,Enhanced
29,法律,Enhanced
30,内控制度不健全,Enhanced
31,外汇管理局,Enhanced
32,《中华人民共和国反洗钱法》,Enhanced
33,问题,Enhanced
34,资金池业务违规,Enhanced
35,规范民间借贷行为的通知,Enhanced
36,金融监管惩罚,Enhanced
37,同业业务违规,Enhanced
38,公共服务,Enhanced
39,《银行业金融机构反洗钱和反恐怖主义融资管理办法》,Enhanced
40,监管处罚,Enhanced
41,违规行为,Enhanced
42,欺诈发行,Enhanced
43,《小额贷款公司监督管理条例》,Enhanced
44,违法行为,Enhanced
45,中国人民银行,Enhanced
46,政府机构,Enhanced
47,法律法规,Enhanced
48,高利放贷违规行为,Enhanced
49,组织,Enhanced
50,事件,Enhanced
51,金融监管处罚条例,Enhanced
52,金融看管处罚,Enhanced
53,收费,Enhanced
54,市地方金融监管局,Enhanced
55,《中华人民共和国银行业监督管理法》,Enhanced
56,金融监控处罚,Enhanced
57,信贷资金违规流入股市,Enhanced
58,证监会,Enhanced
59,《证券投资基金法》,Enhanced
60,监管机构,Enhanced
61,分类,Enhanced
62,服务,Enhanced
63,依据,Enhanced
64,金融监视处罚,Enhanced
65,消费者权益保护不到位,Enhanced
66,行政服务,Enhanced
67,问题描述,Enhanced
68,法律术语,Enhanced
69,金融被监管表扬,Enhanced
70,文化和旅游部,Enhanced
71,违规担保,Enhanced
72,已撤销的部门,Enhanced
73,《中华人民共和国保险法》,Enhanced
74,已撤销机构,Enhanced
75,类型,Enhanced
76,内幕交易行为,Enhanced
77,错误关联交易,Enhanced
78,虚假陈述,Enhanced
79,《融资租赁企业监督管理暂行办法》,Enhanced
80,虚假陈述处罚,Enhanced
81,证监会某监管局,Enhanced
82,法规,Enhanced
83,行驶主体和承办机构,Enhanced
84,某不存在的机构,Enhanced
85,反洗钱工作不力,Enhanced
86,未按规定进行信息披露,Enhanced
87,《中华人民共和国保险法} 第XX条,Enhanced
88,无内容,Enhanced
89,外汇业务违规,Enhanced
90,《中华人民共和国商业银行法》,Enhanced
91,金融监管,Enhanced
92,颜色,Enhanced
93,保险资金运用违规,Enhanced
94,金融监管处罚涉及事项,Enhanced
95,《证券期货违法行为行政处罚办法》,Enhanced
96,理财业务违规,Enhanced
97,部门,Enhanced
98,《小额贷款公司监督管理条例},Enhanced
99,征信业务违规,Enhanced
100,银保监会某监管局执行,Enhanced
101,金融监管惩罚的原因,Enhanced
102,中华人民共和国银行业监督管理法,Enhanced
103,金融监管机构,Enhanced
104,相关金融法规,Enhanced
105,操纵市场价格,Enhanced
106,违规放贷,Enhanced
107,省地方金融监管局,Enhanced
108,银行业金融机构反洗钱和反恐怖主义融资管理办法,Enhanced
109,金融监管活动,Enhanced
110,法规引用,Enhanced
111,文件,Enhanced
112,销售误导行为,Enhanced
113,《证券投资基金法》第X条,Enhanced
114,未按规定履行客户身份识别义务,Enhanced
115,数据治理不规范,Enhanced
116,农业农村部,Enhanced
