domain,exp,triple,qwen_score,gemma_score,gemma_reason
government,Exp2,工会组织 --[依法维护]-> 职工的年休假权利,1.0,1.0,语义逻辑正确。工会组织作为职工权益的代表和维护者，依法维护职工的年休假权利符合政务常识及《工会法》等法律规定，主客体关系明确，术语使用准确。
government,Exp2,《陕西省道路运输管理条例》 --[规定]-> 客运班车应当张贴票价表,1.0,1.0,三元组语义逻辑正确。法规名称表述规范，‘规定’关系符合法律效力逻辑，且内容符合道路运输管理的行政管理常识。
government,Exp2,西安市卫生健康委员会 --[行使主体]-> 服务事项,0.8,0.4,语义逻辑不完整且存在概念错位。'行使主体'通常用于描述行政权力或职权的行使，而'服务事项'是行政行为的对象或内容。在政务知识图谱中，正确的逻辑关系应为'提供服务'或'负责事项'，直接将机构与事项通过'行使主体'连接，在语义上属于谓语与宾语搭配不当。
government,Exp2,城市管理部门 --[督促]-> 改正,1.0,0.4,语义逻辑不完整且存在客体缺失。'改正'是一个动作/行为，而非政务管理中的行政主体或对象。在政务逻辑中，应为'城市管理部门 --[督促]--> 被监管对象 --[进行]--> 改正，或者使用更准确的政务术语如'责令整改'。
government,Exp2,中华人民共和国水土保持法 --[实施依据]-> 水土保持设施验收备案,1.0,1.0,三元组语义逻辑正确。'中华人民共和国水土保持法'作为上位法，为'水土保持设施验收备案'这一具体行政管理行为提供了法律依据，符合政务逻辑和法律适用常识。
government,Exp2,生产者 --[违反]-> 规定,0.8,0.0,语义逻辑完全错误。在政务领域中，‘生产者’与‘规定’之间不存在‘违反’这一逻辑关系。‘违反’的主体通常是‘行为主体’（如企业、个人），客体是‘法律法规/规定’。‘生产者’是一个身份属性，而非具体的违规行为，该三元组缺乏语义逻辑支撑。
government,Exp2,《中华人民共和国道路交通安全法》 --[规定]-> 公安机关交通管理部门,1.0,0.6,语义逻辑存在错位。法律法规是规范行为的准则，通常是‘规定’公民、法人或其他组织的权利义务，或者‘授权’行政机关行使职权。该三元组表述为法律规定公安机关，在语义上不够严谨，更准确的表述应为法律‘授权’公安机关执行或‘明确了’公安机关的职责。
government,Exp2,西安市卫生健康委员会 --[权力类型]-> 行政检查,1.0,1.0,西安市卫生健康委员会作为地方政府组成部门，依法行使行政管理职权，其中包含行政检查这一权力类型，语义逻辑与政务常识完全符合。
government,Exp2,"买卖或者伪造、变造《报废汽车回收证明} --[关系]-> 属报废汽车回收企业,情节严重的,由原审批发证部门分别吊销《资格认定书》、《特种行业许可证》、营业执照",0.6,0.4,语义逻辑错误。三元组将‘违法行为描述’作为主语，与‘属报废汽车回收企业’这一属性或主体描述进行关系连接，导致主谓宾结构混乱。在政务知识图谱中，应为‘违法行为—[导致后果]—处罚措施’或‘企业—[实施]—违法行为’，当前表述将行为与主体身份混为一谈，不符合语义逻辑。
government,Exp2,各业务部门 --[是]-> 承办机构,0.8,0.4,语义逻辑存在错位。在政务逻辑中，‘业务部门’通常是‘承办机构’的组成部分或职能主体，或者‘业务部门’负责‘承办事项’。‘业务部门’与‘承办机构’在行政语境下通常是同义或包含关系，使用‘是’这一谓词建立等价关系不符合政务流程逻辑，且缺乏明确的业务指向性。
government,Exp2,西安市交通运输综合执法支队 --[承办机构]-> 行政处罚,0.4,0.8,语义逻辑基本合理，但‘承办机构’并非标准的政务关系术语。在政务知识图谱中，通常使用‘执行主体’、‘执法主体’或‘权限归属’来描述机构与行政处罚之间的关系。‘承办’一词更多用于事务性工作，而非法律权力的行使。
government,Exp2,承办机构 --[是]-> 县（区）生态环境保护综合执法大队,0.8,0.0,语义逻辑错误。'承办机构'是一个属性或角色标签，而非具体的机构名称，三元组将属性值与具体机构实体建立‘是’的关系，属于逻辑错位，不符合知识图谱的实体-关系-实体规范。
government,Exp2,船舶、浮动设施 --[未持有]-> 登记证书,0.8,0.4,语义逻辑存在错位。在政务登记业务中，‘登记证书’是行政机关颁发的证明文件，‘船舶、浮动设施’作为登记对象，其关系应为‘被授予’、‘持有’或‘取得’，而非‘未持有’。此外，‘未持有’属于否定状态描述，不符合知识图谱中三元组表达实体间客观属性或关系的常规逻辑。
government,Exp2,违反本办法第四条规定开办旅馆 --[公安机关]-> 应当协助工商行政管理部门依法处理,1.0,0.4,语义逻辑存在严重错位。三元组的主体（违反规定的行为）与谓语（应当协助）之间缺乏逻辑连接，且‘公安机关’作为关系主体，其动作‘协助’的对象应为行政执法部门，而非直接指向‘违反规定的行为’。此外，‘工商行政管理部门’在现行政务体系中已整合为‘市场监督管理部门’，术语使用陈旧。
government,Exp2,承办机构 --[是]-> 管理部,0.6,0.0,语义逻辑错误。'承办机构'是描述机构职能或任务状态的角色属性，而非具体的行政机构名称；'管理部'是机构名称。两者之间不存在'是'的等价关系，逻辑上属于范畴错误。
government,Exp2,用人单位 --[违反]-> 《人才市场管理规定》,1.0,0.4,语义逻辑错误。‘违反’的主体通常是行为或行为人，‘违反’的对象应当是具体的法律条文、规定或制度。三元组中‘用人单位’违反的是‘规定’中的具体条款或行为，而非违反‘规定’本身，且‘违反’一词在知识图谱中通常用于描述行为与规则的冲突，而非实体间的直接关系，表述不够专业。
government,Exp2,西安市人力资源和社会保障局 --[行使主体]-> 行政处罚,0.8,1.0,西安市人力资源和社会保障局作为行政机关，依法拥有行政处罚权，该三元组准确描述了行政主体与其行使的行政职权之间的关系，符合政务逻辑。
government,Exp2,实施依据 --[包括]-> 《中华人民共和国安全生产法》,0.8,1.0,语义逻辑正确。在政务领域，‘实施依据’与‘法律法规’之间属于包含关系，该三元组准确表达了政务事项或行政行为的法律支撑关系。
government,Exp2,未取得药品生产许可证 --[导致]-> 行政责骂,0.4,0.2,政务处罚术语使用错误。在行政执法领域，违规行为对应的法律后果应为‘行政处罚’（如罚款、吊销许可证等），‘行政责骂’不属于规范的政务术语，且不具备法律效力。
government,Exp2,经营性人力资源服务机构 --[备案内容]-> 人力资源供求信息的收集和发布,1.0,1.0,三元组语义逻辑正确。根据人力资源市场管理规定，经营性人力资源服务机构在开展业务时，其收集和发布供求信息等业务活动属于应当向行政主管部门备案的内容，符合政务业务逻辑和术语规范。
government,Exp2,擅自转移、使用、销毁、销售被查封或者扣押的兽药及有关材料 --[违法行为]-> 行政处罚,1.0,0.4,语义逻辑错误。'擅自转移、使用、销毁、销售被查封或者扣押的兽药及有关材料'属于具体的'违法行为'，而'行政处罚'是针对该行为产生的法律后果，两者之间不是'违法行为'的关系，应为'导致'或'触发'关系，或者将'行政处罚'作为行为的后果而非属性。
government,Exp2,颁发测绘资质证书的部门 --[决定]-> 降低测绘资质等级,1.0,0.2,语义逻辑错误。颁发资质证书的部门行使的是行政许可、监督管理或撤销等职权，‘决定降低资质等级’在政务逻辑上属于行政处罚或行政管理行为，而非证书颁发行为本身的结果；且‘决定’一词在此处表述模糊，通常应为‘实施资质降级处罚’或‘做出降级决定’，原三元组将颁发行为与管理结果混淆。
government,Exp2,没收违法生产、销售的产品 --[处罚措施]-> 伪造产品产地的,0.4,0.4,语义逻辑颠倒。在政务处罚逻辑中，‘处罚措施’应当作用于‘违法行为’或‘违法主体’，而三元组中将‘处罚措施’作为谓语，其宾语‘伪造产品产地的’属于违法行为的描述，逻辑上应为‘违法行为 --[采取措施]--> 处罚结果’，或者‘违法行为 --[属于]--> 违法类型’。目前的表述将行为描述误当作了处罚的对象，不符合政务逻辑。
government,Exp2,承办机构 --[是]-> 燃气热力管理处,0.8,0.2,语义逻辑错误。'承办机构'是一个属性或角色标签，而非具体的行政机构名称；'燃气热力管理处'是具体的机构名称，两者之间不能构成'是'的等值关系。正确的逻辑应为'某项业务 --[由]--> 燃气热力管理处承办'。
government,Exp2,西安市市场监督管理局 --[行使权力]-> 行政处罚,1.0,0.6,语义逻辑存在错位。'行政处罚'属于行政行为或法律后果，而非权力本身。更准确的表述应为'西安市市场监督管理局 --[行使权力]-> 行政处罚权'或'西安市市场监督管理局 --[实施行为]-> 行政处罚'。当前表述将行为结果直接作为权力的客体，不够专业。
government,Exp2,服务事项 --[涉及]-> 施工单位,0.8,0.8,语义逻辑基本合理，但在政务知识图谱中，'涉及'属于模糊关系。更准确的政务术语应为'服务对象'或'申请主体'。施工单位作为政务服务的实施主体或申请人，与服务事项存在关联，但关系定义不够精确。
government,Exp2,娱乐场所 --[未按照本条例规定建立从业人员名簿]-> 给予警告,0.6,0.4,语义逻辑错误。三元组的主体（娱乐场所）与谓语（给予警告）之间存在逻辑错位，‘给予警告’是行政处罚行为，其主体应为行政机关，而非被处罚对象。正确的逻辑应为：行政机关 --[对未建立名簿的娱乐场所]-> 给予警告。
government,Exp2,安装、拆卸人员名单 --[报]-> 监理单位,1.0,0.2,语义逻辑错误。'安装、拆卸人员名单'属于政务审批或备案过程中的申报材料/证明文件，而'报'（报送）的主体应当是申请人或被监管对象，而非名单本身。名单是报送的内容，不能作为动作的发起主体。
government,Exp2,实施依据 --[来源于]-> 第七十六条第一项,0.8,0.4,语义逻辑不完整且术语使用不规范。'第七十六条第一项'仅为法律条文的具体条款，属于法律文本的组成部分，而非完整的'实施依据'。在政务知识图谱中，实施依据通常应指向具体的法律、法规、规章或规范性文件名称（如《中华人民共和国XX法》），而非直接指向具体的条款编号，否则会导致语义指向过于碎片化，缺乏法律效力的主体支撑。
government,Exp2,出租、转让频率、频段，擅自变更广播电视发射台、转播台技术参数 --[违反]-> 《广播电视管理条例》,1.0,0.2,三元组逻辑严重错位。主体部分由一系列离散的词汇（出租、转让频率、频段）组成，缺乏完整的语义结构，无法构成一个明确的行为主体或行为描述；且‘违反’关系的对象应为具体的法律条文或规定，虽然指向了《广播电视管理条例》，但由于主语语义破碎，导致整个逻辑链条无法成立，属于典型的语义逻辑错误。
government,Exp3,西安市人力资源和社会保障局 --[管理]-> 劳动保障监察执法处,1.0,1.0,符合政务组织架构逻辑。在政府机构内部，局级单位下设的处室属于其职能组成部分，局对处室行使行政管理权，关系表述准确。
government,Exp3,赌博 --[类型]-> 法律或法规,0.2,0.2,语义逻辑错误。'赌博'属于违法犯罪行为或社会行为，而'法律或法规'是规范行为的工具，两者之间不存在'类型'的从属关系。正确的逻辑应为'赌博'受'法律或法规'的规制，或'赌博'属于'违法行为'。
government,Exp3,服务事项 --[涉及]-> 行政强制,0.6,0.4,语义逻辑不准确。‘服务事项’属于政务服务范畴，旨在提供便利；而‘行政强制’属于行政处罚或强制执行范畴，两者在政务逻辑上属于并列或对立的行政行为类型，‘涉及’一词无法准确描述两者之间的逻辑关系，且容易产生行政行为性质混淆的歧义。
government,Exp3,医政医管处 --[承办机构]-> 行政处罚,0.8,0.4,语义逻辑存在错位。'行政处罚'属于行政行为或法律后果，而'承办机构'通常应指向具体的行政审批事项、政务服务事项或具体业务。医政医管处可以作为'行政处罚事项'的承办机构，但不能直接说'承办行政处罚'这一抽象行为，术语搭配不符合政务逻辑。
government,Exp3,综合监督处 --[承办机构]-> 服务事项,1.0,0.4,语义逻辑存在错位。在政务流程中，‘承办机构’通常指代具体的行政部门或业务科室，而‘综合监督处’作为部门内部的职能处室，其职能通常是‘监督’、‘管理’或‘协调’，而非直接‘承办’具体服务事项。此外，‘承办机构’与‘服务事项’之间通常是‘所属机构’或‘办理部门’的关系，‘承办机构’作为关系谓语时，其主体应为具体的办事窗口或业务科室，而非监督职能部门。
government,Exp3,服务事项 --[包括]-> 对医疗机构及有医疗卫生人员执业证书的人员未取得药品批准证明文件生产、进口药品,0.4,0.2,语义逻辑严重错误。'服务事项'与'违法违规行为描述'之间不构成'包括'关系。该三元组将行政处罚或监管的违法行为描述误当作了政务服务事项，主客体关系错位，不符合政务知识图谱的语义逻辑。
