start_id,end_id,relation_type,source
1,2,服务事项,enhanced_extraction
3,1,权力类型,enhanced_extraction
4,1,行驶主体,enhanced_extraction
4,1,承办机构,enhanced_extraction
1,3,类型,enhanced_extraction
4,1,执行,enhanced_extraction
1,5,实施依据,enhanced_extraction
3,1,权力类型,enhanced_extraction
1,3,类型,enhanced_extraction
6,1,服务事项,enhanced_extraction
1,7,行驶主体,enhanced_extraction
1,7,承办机构,enhanced_extraction
1,8,实施依据,enhanced_extraction
7,3,执行者,enhanced_extraction
9,3,是,enhanced_extraction
10,11,是,enhanced_extraction
12,11,是,enhanced_extraction
1,13,针对,enhanced_extraction
14,15,依据,enhanced_extraction
1,3,类型,enhanced_extraction
16,17,类型,enhanced_extraction
3,9,类型,enhanced_extraction
18,19,类型,enhanced_extraction
18,1,执行,enhanced_extraction
1,15,依据,enhanced_extraction
9,3,是,enhanced_extraction
20,1,属于,enhanced_extraction
21,22,既是行驶主体也是承办机构,enhanced_extraction
21,3,行使,enhanced_extraction
23,14,作为,enhanced_extraction
24,1,包括,enhanced_extraction
1,25,涉及,enhanced_extraction
9,26,是,enhanced_extraction
10,27,是,enhanced_extraction
12,27,是,enhanced_extraction
14,8,是,enhanced_extraction
1,3,包含,enhanced_extraction
27,1,负责,enhanced_extraction
8,28,包含,enhanced_extraction
24,29,包括,enhanced_extraction
10,30,是,enhanced_extraction
12,30,是,enhanced_extraction
1,29,针对,enhanced_extraction
24,1,包括,enhanced_extraction
1,31,涉及,enhanced_extraction
9,3,是,enhanced_extraction
10,32,是,enhanced_extraction
12,32,是,enhanced_extraction
14,33,是,enhanced_extraction
1,3,类型,enhanced_extraction
31,34,类型,enhanced_extraction
3,9,类型,enhanced_extraction
32,35,类型,enhanced_extraction
33,36,类型,enhanced_extraction
32,1,行驶主体,enhanced_extraction
32,1,承办机构,enhanced_extraction
33,1,实施依据,enhanced_extraction
37,38,类型,enhanced_extraction
37,5,依据,enhanced_extraction
1,31,针对,enhanced_extraction
9,3,类型,enhanced_extraction
10,39,执行,enhanced_extraction
12,39,负责,enhanced_extraction
14,40,依据,enhanced_extraction
14,41,是,enhanced_extraction
1,2,针对,enhanced_extraction
32,32,行驶主体,enhanced_extraction
32,32,承办机构,enhanced_extraction
14,41,依据,enhanced_extraction
9,3,是,enhanced_extraction
24,1,包括,enhanced_extraction
1,42,涉及,enhanced_extraction
9,3,是,enhanced_extraction
10,43,是,enhanced_extraction
1,44,依据,enhanced_extraction
43,1,实施,enhanced_extraction
43,1,负责,enhanced_extraction
1,3,权力类型,enhanced_extraction
1,32,行驶主体,enhanced_extraction
1,32,承办机构,enhanced_extraction
1,42,服务事项,enhanced_extraction
9,3,是,enhanced_extraction
10,11,是,enhanced_extraction
12,11,是,enhanced_extraction
1,3,类型,enhanced_extraction
14,45,源自,enhanced_extraction
10,11,负责,enhanced_extraction
12,11,负责,enhanced_extraction
24,46,包括,enhanced_extraction
9,47,是,enhanced_extraction
10,48,是,enhanced_extraction
12,48,是,enhanced_extraction
14,49,是,enhanced_extraction
9,3,是,enhanced_extraction
14,50,引用,enhanced_extraction
43,1,负责,enhanced_extraction
1,51,服务事项,enhanced_extraction
3,1,权力类型,enhanced_extraction
51,17,是,enhanced_extraction
51,3,导致,enhanced_extraction
1,51,服务事项,enhanced_extraction
3,1,权力类型,enhanced_extraction
52,1,行驶主体,enhanced_extraction
52,1,承办机构,enhanced_extraction
1,3,类型,enhanced_extraction
53,1,实施依据,enhanced_extraction
3,1,权力类型,enhanced_extraction
18,1,行驶主体,enhanced_extraction
18,1,承办机构,enhanced_extraction
1,41,实施依据,enhanced_extraction
18,41,实施依据,enhanced_extraction
43,54,是,enhanced_extraction
55,36,是,enhanced_extraction
43,1,行使权力,enhanced_extraction
43,1,承办,enhanced_extraction
24,1,包括,enhanced_extraction
1,56,涉及,enhanced_extraction
9,3,是,enhanced_extraction
10,27,是,enhanced_extraction
12,27,是,enhanced_extraction
24,1,类型,enhanced_extraction
1,3,类型,enhanced_extraction
9,3,类型,enhanced_extraction
10,27,类型,enhanced_extraction
12,27,类型,enhanced_extraction
10,12,是,enhanced_extraction
1,31,涉及,enhanced_extraction
9,3,属于,enhanced_extraction
10,12,相同,enhanced_extraction
14,57,依据,enhanced_extraction
1,58,涉及,enhanced_extraction
9,3,是,enhanced_extraction
52,12,负责,enhanced_extraction
23,14,依据,enhanced_extraction
14,15,是,enhanced_extraction
59,60,类型,enhanced_extraction
1,3,类型,enhanced_extraction
61,17,类型,enhanced_extraction
62,63,类型,enhanced_extraction
10,12,等同于,enhanced_extraction
1,61,针对,enhanced_extraction
1,3,属于,enhanced_extraction
1,59,由,enhanced_extraction
24,64,包括,enhanced_extraction
9,65,是,enhanced_extraction
10,66,是,enhanced_extraction
12,66,是,enhanced_extraction
14,67,是,enhanced_extraction
39,68,行驶主体,enhanced_extraction
39,68,承办机构,enhanced_extraction
39,24,执行,enhanced_extraction
24,69,包含,enhanced_extraction
24,53,依据,enhanced_extraction
1,3,类型,enhanced_extraction
25,70,是,enhanced_extraction
4,1,行使主体,enhanced_extraction
4,1,承办机构,enhanced_extraction
71,1,实施依据,enhanced_extraction
9,3,是,enhanced_extraction
12,52,是,enhanced_extraction
14,8,是,enhanced_extraction
1,61,包含,enhanced_extraction
72,1,执行,enhanced_extraction
1,8,实施依据,enhanced_extraction
1,16,涉及事项,enhanced_extraction
9,3,是,enhanced_extraction
10,11,是,enhanced_extraction
12,11,是,enhanced_extraction
14,53,是,enhanced_extraction
73,1,行驶主体,enhanced_extraction
73,1,承办机构,enhanced_extraction
1,53,依据,enhanced_extraction
30,1,行驶主体,enhanced_extraction
30,1,承办机构,enhanced_extraction
29,1,针对,enhanced_extraction
1,3,权力类型,enhanced_extraction
1,71,实施依据,enhanced_extraction
