item_id,method,case_id,operation,triple,occurrence
edit-001,archived_simple,government-44de83980361,add,"{""head"": ""Document:government-44de83980361:对擅自在互联网上使用广播电视专有名称开展业务；变更股东、股权结构，或上市融资，或重大资产变动时，未办理审批手续；未建立健全节目运营规范，未采取版权保护措施，或对传播有害内容未履行提示、删除、报告义务；"", ""relation"": ""服务事项"", ""tail"": ""对擅自在互联网上使用广播电视专有名称开展业务；变更股东、股权结构，或上市融资，或重大资产变动时，未办理审批手续；未建立健全节目运营规范，未采取版权保护措施，或对传播有害内容未履行提示、删除、报告义务；未在播出界面显著位置标注播出标识、名称、《许可证》和备案编号；未履行保留节目记录、向主管部门如实提供查询义务；向未持有《许可证》或备案的单位提供代收费及信号传输、服务器托管等与互联网视听节目服务有关的服务；未履行查验义务，或向互联网视听节目服务单位提供其《许可证》或备案载明事项范围以外的接入服务；进行虚假宣传或者误导用户；未经用户同意，擅自泄露用户信息秘密；互联网视听服务单位在同一年度内三次出现违规行为；拒绝、阻挠、拖延广播电影电视主管""}",0
edit-002,archived_simple,government-1872a3147127,add,"{""head"": ""Document:government-1872a3147127:对通过逃避监管方式排放污染物的行政处罚"", ""relation"": ""责任事项"", ""tail"": ""执行阶段责任：当事人到期不缴纳罚款的，可以每日按罚款数额的百分之三加处罚款，加处罚款的数额不得超出罚款的数额""}",0
edit-003,archived_simple,government-f8e7519208bb,add,"{""head"": ""Document:government-f8e7519208bb:对用人单位使用有毒物品作业场所未按照规定设置警示标识和中文警示说明；未对职业卫生防护设备、应急救援设施、通讯报警装置进行维护、检修和定期检测，导致上述设施处于不正常状态；未依照本条例的规定进行职业中毒"", ""relation"": ""承办机构"", ""tail"": ""职业健康处""}",0
edit-004,archived_simple,government-da0766bfb46f,add,"{""head"": ""Document:government-da0766bfb46f:对逾期不缴纳水土保持补偿费行为的加处罚款或滞纳金"", ""relation"": ""责任事项"", ""tail"": ""审查当事人是否存在违反水土保持法律法规的行为。对拒不停止违法行为，造成严重水土流失的或者有其他严重违法情节的，催告当事人履行义务，制作催告书，并予以公告。实施查封扣押前须向行政机关负责人报告并经批准，制作行政强制措施决定书，并告知当事人采取行政强制措施的理由依据以及当事人申请行政复议或提起行政诉讼的途径和期限。由两名以上执法人员出示执法证件，送达行政强制措施决定书，对查封、扣押的物品，应当会同在场见证人或被查封、扣押物品持有人查点清楚，当场开列清单一式二份，由执法人员、见证人或持有人签名或者盖章，一份交给持有人，另一份附卷备查。对查封、扣押的物品应当在三十日内依法作出处理。""}",0
edit-005,archived_simple,government-af42e795d1d9,add,"{""head"": ""Document:government-af42e795d1d9:对直销企业和直销员及其直销活动的监督检查"", ""relation"": ""责任事项"", ""tail"": ""实施检查：执法人员根据相关法律规定及实施方案要求，在职权范围内对辖区内的企业进行检查""}",0
edit-006,archived_simple,government-584133fdecce,add,"{""head"": ""Document:government-584133fdecce:对泄密案件的调查处理"", ""relation"": ""责任事项"", ""tail"": ""其他法律法规规章文件规定应履行的责任""}",0
edit-007,archived_simple,government-3e9dd9632fa8,add,"{""head"": ""Document:government-3e9dd9632fa8:外国人居留许可证核发"", ""relation"": ""责任事项"", ""tail"": ""审批阶段责任""}",0
edit-008,gemma_shacl_context_gate,government-1e0b7611abe9,remove,"{""head"": ""Document:government-1e0b7611abe9:对船舶未在码头、泊位或者依法公布的锚地、停泊区、作业区停泊的行政处罚"", ""relation"": ""责任事项"", ""tail"": ""立案阶段责任：发现涉嫌违法的行为予以审查，决定是否立案""}",0
edit-009,archived_simple,government-3973dc6cd196,add,"{""head"": ""Document:government-3973dc6cd196:对涂改、伪造、转让《供血浆证》的处罚"", ""relation"": ""责任事项"", ""tail"": ""告知责任：作出行政处罚决定前，应制作《行政处罚告知书》送达当事人，告知违规行为及其享有的陈述、申辩等权利""}",0
edit-010,gemma_base_gate,government-0aada7eebec8,remove,"{""head"": ""Document:government-0aada7eebec8:对广告内容违反《中华人民广告法》第八条规定的；广告引证内容违反《中华人民广告法》第十一条规定的；涉及专利的广告违反《中华人民广告法》第十二条规定的；广告贬低其他生产经营者的商品或者服务的；广告经营者、"", ""relation"": ""实施依据"", ""tail"": ""《中华人民共和国广告法》（2021年修订）第五十九条""}",0
